imenica	frekvencija	potvrđen_genitiv	padež	predlog	napomena
regulisanje	906	regulisanja	D/L jd	regulisanju	
regulisanje	906	regulisanja	I jd	regulisanjem	
pristupanje	891	pristupanja	I jd	pristupanjem	
investiranje	886	investiranja	I jd	investiranjem	
negovanje	880	negovanja	D/L jd	negovanju	
prebivalište	873	prebivališta	I jd	prebivalištem	
uredništvo	869	uredništva	I jd	uredništvom	
ograničavanje	852	ograničavanja	I jd	ograničavanjem	
vrednovanje	832	vrednovanja	I jd	vrednovanjem	
polufinale	827	polufinala	I jd	polufinalem	
odlučivanje	816	odlučivanja	I jd	odlučivanjem	
nerazumevanje	813	nerazumevanja	I jd	nerazumevanjem	
oblikovanje	812	oblikovanja	I jd	oblikovanjem	
stočarstvo	788	stočarstva	I jd	stočarstvom	
zajedništvo	783	zajedništva	I jd	zajedništvom	
osnaživanje	774	osnaživanja	D/L jd	osnaživanju	
osnaživanje	774	osnaživanja	I jd	osnaživanjem	
odmaralište	764	odmarališta	I jd	odmaralištem	
letovalište	761	letovališta	D/L jd	letovalištu	
letovalište	761	letovališta	I jd	letovalištem	
znojenje	760	znojenja	D/L jd	znojenju	
predviđanje	751	predviđanja	I jd	predviđanjem	
blagostanje	719	blagostanja	I jd	blagostanjem	
protivljenje	718	protivljenja	I jd	protivljenjem	
zakazivanje	713	zakazivanja	I jd	zakazivanjem	
usporavanje	702	usporavanja	I jd	usporavanjem	
oporezivanje	683	oporezivanja	I jd	oporezivanjem	
posredovanje	656	posredovanja	I jd	posredovanjem	
navodnjavanje	652	navodnjavanja	D/L jd	navodnjavanju	
izvorište	650	izvorišta	I jd	izvorištem	
građanstvo	645	građanstva	I jd	građanstvom	
stecište	644	stecišta	D/L jd	stecištu	
stecište	644	stecišta	I jd	stecištem	
otkrovenje	636	otkrovenja	I jd	otkrovenjem	
usmeravanje	632	usmeravanja	I jd	usmeravanjem	
poluostrvo	626	poluostrva	I jd	poluostrvom	
zbrinjavanje	624	zbrinjavanja	I jd	zbrinjavanjem	
šišanje	622	šišanja	I jd	šišanjem	
isključivanje	620	isključivanja	D/L jd	isključivanju	
fijasko	616	fijaska	D/L jd	fijasku	
izjašnjavanje	614	izjašnjavanja	D/L jd	izjašnjavanju	
izjašnjavanje	614	izjašnjavanja	I jd	izjašnjavanjem	
narušavanje	607	narušavanja	I jd	narušavanjem	
rukovođenje	606	rukovođenja	I jd	rukovođenjem	
obeštećenje	588	obeštećenja	I jd	obeštećenjem	
novorođenče	587	novorođenčeta	I jd	novorođenčetom	proširena osnova
osvećenje	582	osvećenja	D/L jd	osvećenju	
osvećenje	582	osvećenja	I jd	osvećenjem	
bogosluženje	578	bogosluženja	I jd	bogosluženjem	
veštačenje	575	veštačenja	D/L jd	veštačenju	
priključenje	570	priključenja	I jd	priključenjem	
zaključivanje	570	zaključivanja	I jd	zaključivanjem	
izvršavanje	562	izvršavanja	I jd	izvršavanjem	
trgovište	547	trgovišta	I jd	trgovištem	
istezanje	543	istezanja	D/L jd	istezanju	
istezanje	543	istezanja	I jd	istezanjem	
volontiranje	542	volontiranja	I jd	volontiranjem	
izletište	539	izletišta	I jd	izletištem	
obdanište	533	obdaništa	I jd	obdaništem	
file	532	fileta	D/L jd	filetu	proširena osnova
file	532	fileta	I jd	filetom	proširena osnova
obaveštavanje	532	obaveštavanja	D/L jd	obaveštavanju	
obaveštavanje	532	obaveštavanja	I jd	obaveštavanjem	
komunalije	524	komunalija	D/L jd	komunaliju	
komunalije	524	komunalija	I jd	komunalijem	
zvonce	519	zvonca	D/L jd	zvoncu	
kombinovanje	516	kombinovanja	D/L jd	kombinovanju	
ispravljanje	514	ispravljanja	I jd	ispravljanjem	
proterivanje	505	proterivanja	I jd	proterivanjem	
proširivanje	505	proširivanja	I jd	proširivanjem	
doziranje	501	doziranja	D/L jd	doziranju	
doziranje	501	doziranja	I jd	doziranjem	
prihvatilište	501	prihvatilišta	I jd	prihvatilištem	
strelište	491	strelišta	I jd	strelištem	
sastavljanje	474	sastavljanja	I jd	sastavljanjem	
povećavanje	471	povećavanja	I jd	povećavanjem	
razlikovanje	471	razlikovanja	D/L jd	razlikovanju	
razlikovanje	471	razlikovanja	I jd	razlikovanjem	
upoređivanje	470	upoređivanja	D/L jd	upoređivanju	
prekoračenje	463	prekoračenja	D/L jd	prekoračenju	
prekoračenje	463	prekoračenja	I jd	prekoračenjem	
izjednačavanje	459	izjednačavanja	I jd	izjednačavanjem	
zanemarivanje	457	zanemarivanja	I jd	zanemarivanjem	
dodeljivanje	451	dodeljivanja	I jd	dodeljivanjem	
ugostiteljstvo	451	ugostiteljstva	I jd	ugostiteljstvom	
iskorišćavanje	441	iskorišćavanja	I jd	iskorišćavanjem	
mirovanje	440	mirovanja	I jd	mirovanjem	
odlikovanje	437	odlikovanja	I jd	odlikovanjem	
predlaganje	435	predlaganja	I jd	predlaganjem	
klizalište	434	klizališta	I jd	klizalištem	
ovladavanje	428	ovladavanja	I jd	ovladavanjem	
sajmište	427	sajmišta	I jd	sajmištem	
lovište	426	lovišta	I jd	lovištem	
samoopredeljenje	422	samoopredeljenja	D/L jd	samoopredeljenju	
samoopredeljenje	422	samoopredeljenja	I jd	samoopredeljenjem	
naseljavanje	421	naseljavanja	I jd	naseljavanjem	
rivalstvo	420	rivalstva	I jd	rivalstvom	
bojenje	417	bojenja	D/L jd	bojenju	
žumance	417	žumanca	D/L jd	žumancu	
preobraženje	410	preobraženja	I jd	preobraženjem	
svetilište	409	svetilišta	I jd	svetilištem	
peckanje	408	peckanja	D/L jd	peckanju	
fokusiranje	406	fokusiranja	I jd	fokusiranjem	
stajalište	400	stajališta	I jd	stajalištem	
označavanje	399	označavanja	I jd	označavanjem	
suprotstavljanje	399	suprotstavljanja	I jd	suprotstavljanjem	
mapiranje	398	mapiranja	I jd	mapiranjem	
ublažavanje	398	ublažavanja	I jd	ublažavanjem	
produbljivanje	392	produbljivanja	D/L jd	produbljivanju	
produbljivanje	392	produbljivanja	I jd	produbljivanjem	
dežurstvo	391	dežurstva	I jd	dežurstvom	
drugarstvo	385	drugarstva	I jd	drugarstvom	
zadovoljavanje	383	zadovoljavanja	I jd	zadovoljavanjem	
streljaštvo	378	streljaštva	I jd	streljaštvom	
zatezanje	375	zatezanja	D/L jd	zatezanju	
savladavanje	374	savladavanja	I jd	savladavanjem	
uskraćivanje	374	uskraćivanja	D/L jd	uskraćivanju	
uskraćivanje	374	uskraćivanja	I jd	uskraćivanjem	
naručivanje	371	naručivanja	I jd	naručivanjem	
dešavanje	369	dešavanja	I jd	dešavanjem	
zamajavanje	369	zamajavanja	D/L jd	zamajavanju	
zamajavanje	369	zamajavanja	I jd	zamajavanjem	
konstituisanje	367	konstituisanja	D/L jd	konstituisanju	
konstituisanje	367	konstituisanja	I jd	konstituisanjem	
poništavanje	367	poništavanja	D/L jd	poništavanju	
poništavanje	367	poništavanja	I jd	poništavanjem	
generisanje	364	generisanja	D/L jd	generisanju	
generisanje	364	generisanja	I jd	generisanjem	
modeliranje	364	modeliranja	I jd	modeliranjem	
omalovažavanje	364	omalovažavanja	D/L jd	omalovažavanju	
raspoređivanje	362	raspoređivanja	I jd	raspoređivanjem	
odugovlačenje	358	odugovlačenja	D/L jd	odugovlačenju	
zagovaranje	357	zagovaranja	D/L jd	zagovaranju	
zagovaranje	357	zagovaranja	I jd	zagovaranjem	
ležište	356	ležišta	I jd	ležištem	
surfovanje	356	surfovanja	I jd	surfovanjem	
oticanje	352	oticanja	D/L jd	oticanju	
planinarenje	352	planinarenja	I jd	planinarenjem	
porodilište	350	porodilišta	I jd	porodilištem	
umnožavanje	348	umnožavanja	I jd	umnožavanjem	
izdržavanje	343	izdržavanja	I jd	izdržavanjem	
odstranjivanje	342	odstranjivanja	D/L jd	odstranjivanju	
odstranjivanje	342	odstranjivanja	I jd	odstranjivanjem	
mršavljenje	337	mršavljenja	D/L jd	mršavljenju	
mršavljenje	337	mršavljenja	I jd	mršavljenjem	
knjiženje	336	knjiženja	I jd	knjiženjem	
kupalište	335	kupališta	I jd	kupalištem	
promišljanje	334	promišljanja	I jd	promišljanjem	
savezništvo	334	savezništva	I jd	savezništvom	
snalaženje	334	snalaženja	I jd	snalaženjem	
podržavanje	332	podržavanja	I jd	podržavanjem	
učitavanje	332	učitavanja	D/L jd	učitavanju	
učitavanje	332	učitavanja	I jd	učitavanjem	
zatišje	332	zatišja	I jd	zatišjem	
punomoćje	331	punomoćja	D/L jd	punomoćju	
odojče	330	odojčeta	I jd	odojčetom	proširena osnova
pridruživanje	328	pridruživanja	I jd	pridruživanjem	
samoupravljanje	328	samoupravljanja	I jd	samoupravljanjem	
bdenije	327	bdenija	I jd	bdenijem	
odličje	325	odličja	D/L jd	odličju	
prepucavanje	323	prepucavanja	D/L jd	prepucavanju	
prepucavanje	323	prepucavanja	I jd	prepucavanjem	
radovanje	323	radovanja	D/L jd	radovanju	
radovanje	323	radovanja	I jd	radovanjem	
razgraničenje	323	razgraničenja	D/L jd	razgraničenju	
razgraničenje	323	razgraničenja	I jd	razgraničenjem	
forsiranje	321	forsiranja	D/L jd	forsiranju	
forsiranje	321	forsiranja	I jd	forsiranjem	
otkrivenje	321	otkrivenja	I jd	otkrivenjem	
pojašnjenje	317	pojašnjenja	D/L jd	pojašnjenju	
pojašnjenje	317	pojašnjenja	I jd	pojašnjenjem	
svratište	317	svratišta	I jd	svratištem	
filtriranje	313	filtriranja	D/L jd	filtriranju	
poigravanje	313	poigravanja	I jd	poigravanjem	
pače	312	pačeta	I jd	pačetom	proširena osnova
arhiviranje	311	arhiviranja	D/L jd	arhiviranju	
arhiviranje	311	arhiviranja	I jd	arhiviranjem	
čvorište	311	čvorišta	I jd	čvorištem	
komuniciranje	308	komuniciranja	D/L jd	komuniciranju	
komuniciranje	308	komuniciranja	I jd	komuniciranjem	
trojstvo	304	trojstva	I jd	trojstvom	
prepuštanje	301	prepuštanja	I jd	prepuštanjem	
ugovaranje	301	ugovaranja	I jd	ugovaranjem	
iskazivanje	300	iskazivanja	I jd	iskazivanjem	
voćarstvo	300	voćarstva	I jd	voćarstvom	
anketiranje	298	anketiranja	D/L jd	anketiranju	
anketiranje	298	anketiranja	I jd	anketiranjem	
geslo	298	gesla	D/L jd	geslu	
pomagalo	294	pomagala	D/L jd	pomagalu	
pomagalo	294	pomagala	I jd	pomagalom	
bodovanje	292	bodovanja	D/L jd	bodovanju	
bodovanje	292	bodovanja	I jd	bodovanjem	
zrnce	292	zrnca	D/L jd	zrncu	
podmlađivanje	291	podmlađivanja	D/L jd	podmlađivanju	
podmlađivanje	291	podmlađivanja	I jd	podmlađivanjem	
jednoumlje	290	jednoumlja	I jd	jednoumljem	
nagrađivanje	290	nagrađivanja	D/L jd	nagrađivanju	
nagrađivanje	290	nagrađivanja	I jd	nagrađivanjem	
vojvodstvo	288	vojvodstva	I jd	vojvodstvom	
brodogradilište	287	brodogradilišta	I jd	brodogradilištem	
košenje	287	košenja	I jd	košenjem	
dugovanje	285	dugovanja	I jd	dugovanjem	
đubrenje	285	đubrenja	D/L jd	đubrenju	
đubrenje	285	đubrenja	I jd	đubrenjem	
postignuće	283	postignuća	I jd	postignućem	
prebrojavanje	283	prebrojavanja	D/L jd	prebrojavanju	
ubrizgavanje	281	ubrizgavanja	D/L jd	ubrizgavanju	
zaostajanje	281	zaostajanja	I jd	zaostajanjem	
klizište	280	klizišta	D/L jd	klizištu	
klizište	280	klizišta	I jd	klizištem	
stezanje	280	stezanja	I jd	stezanjem	
praznovanje	278	praznovanja	I jd	praznovanjem	
pristajanje	277	pristajanja	I jd	pristajanjem	
sortiranje	275	sortiranja	I jd	sortiranjem	
analiziranje	274	analiziranja	D/L jd	analiziranju	
analiziranje	274	analiziranja	I jd	analiziranjem	
kijanje	274	kijanja	D/L jd	kijanju	
skrnavljenje	273	skrnavljenja	I jd	skrnavljenjem	
uzdržavanje	272	uzdržavanja	I jd	uzdržavanjem	
ispuštanje	271	ispuštanja	D/L jd	ispuštanju	
izračunavanje	271	izračunavanja	D/L jd	izračunavanju	
izračunavanje	271	izračunavanja	I jd	izračunavanjem	
prepisivanje	271	prepisivanja	I jd	prepisivanjem	
eksperimentisanje	270	eksperimentisanja	I jd	eksperimentisanjem	
zimovanje	269	zimovanja	I jd	zimovanjem	
iživljavanje	268	iživljavanja	D/L jd	iživljavanju	
iživljavanje	268	iživljavanja	I jd	iživljavanjem	
balansiranje	267	balansiranja	D/L jd	balansiranju	
balansiranje	267	balansiranja	I jd	balansiranjem	
veto	266	veta	D/L jd	vetu	
veto	266	veta	I jd	vetom	
sponzorstvo	264	sponzorstva	I jd	sponzorstvom	
lečilište	263	lečilišta	I jd	lečilištem	
maslo	262	masla	D/L jd	maslu	
suženje	262	suženja	D/L jd	suženju	
suženje	262	suženja	I jd	suženjem	
poslanstvo	261	poslanstva	I jd	poslanstvom	
uslovljavanje	259	uslovljavanja	D/L jd	uslovljavanju	
uslovljavanje	259	uslovljavanja	I jd	uslovljavanjem	
orezivanje	258	orezivanja	D/L jd	orezivanju	
peglanje	258	peglanja	D/L jd	peglanju	
peglanje	258	peglanja	I jd	peglanjem	
telefoniranje	258	telefoniranja	D/L jd	telefoniranju	
telefoniranje	258	telefoniranja	I jd	telefoniranjem	
ukrašavanje	257	ukrašavanja	I jd	ukrašavanjem	
materinstvo	255	materinstva	D/L jd	materinstvu	
materinstvo	255	materinstva	I jd	materinstvom	
psovanje	255	psovanja	D/L jd	psovanju	
vinogradarstvo	254	vinogradarstva	D/L jd	vinogradarstvu	
vinogradarstvo	254	vinogradarstva	I jd	vinogradarstvom	
iniciranje	253	iniciranja	I jd	iniciranjem	
tele	251	teleta	I jd	teletom	proširena osnova
ticalo	251	ticala	D/L jd	ticalu	
ticalo	251	ticala	I jd	ticalom	
presvlačenje	248	presvlačenja	D/L jd	presvlačenju	
razbojništvo	247	razbojništva	D/L jd	razbojništvu	
razbojništvo	247	razbojništva	I jd	razbojništvom	
belance	246	belanca	D/L jd	belancu	
belance	246	belanca	I jd	belancem	
zahlađenje	246	zahlađenja	D/L jd	zahlađenju	
ovaploćenje	244	ovaploćenja	I jd	ovaploćenjem	
tuce	243	tuceta	D/L jd	tucetu	proširena osnova
nagomilavanje	242	nagomilavanja	D/L jd	nagomilavanju	
nagomilavanje	242	nagomilavanja	I jd	nagomilavanjem	
proveravanje	242	proveravanja	I jd	proveravanjem	
pregledanje	240	pregledanja	I jd	pregledanjem	
jedrenje	239	jedrenja	I jd	jedrenjem	
poliranje	239	poliranja	I jd	poliranjem	
prekrajanje	238	prekrajanja	I jd	prekrajanjem	
zavarivanje	238	zavarivanja	D/L jd	zavarivanju	
zavarivanje	238	zavarivanja	I jd	zavarivanjem	
branje	237	branja	I jd	branjem	
paparaco	233	paparaca	D/L jd	paparacu	
paparaco	233	paparaca	I jd	paparacem	
pikado	233	pikada	I jd	pikadom	
ispovedanje	232	ispovedanja	D/L jd	ispovedanju	
ispovedanje	232	ispovedanja	I jd	ispovedanjem	
manipulisanje	232	manipulisanja	D/L jd	manipulisanju	
manipulisanje	232	manipulisanja	I jd	manipulisanjem	
gledalište	231	gledališta	I jd	gledalištem	
sučeljavanje	231	sučeljavanja	I jd	sučeljavanjem	
mazanje	230	mazanja	D/L jd	mazanju	
sahranjivanje	229	sahranjivanja	D/L jd	sahranjivanju	
sahranjivanje	229	sahranjivanja	I jd	sahranjivanjem	
ležanje	228	ležanja	D/L jd	ležanju	
propuštanje	226	propuštanja	D/L jd	propuštanju	
propuštanje	226	propuštanja	I jd	propuštanjem	
saopštavanje	225	saopštavanja	D/L jd	saopštavanju	
saopštavanje	225	saopštavanja	I jd	saopštavanjem	
poletanje	224	poletanja	I jd	poletanjem	
preuzeće	224	preuzeća	I jd	preuzećem	
ohrabrivanje	221	ohrabrivanja	D/L jd	ohrabrivanju	
ohrabrivanje	221	ohrabrivanja	I jd	ohrabrivanjem	
čupanje	221	čupanja	D/L jd	čupanju	
čupanje	221	čupanja	I jd	čupanjem	
cimanje	219	cimanja	D/L jd	cimanju	
cimanje	219	cimanja	I jd	cimanjem	
dopisivanje	218	dopisivanja	I jd	dopisivanjem	
ogledalce	218	ogledalca	D/L jd	ogledalcu	
ogledalce	218	ogledalca	I jd	ogledalcem	
obilježje	217	obilježja	D/L jd	obilježju	
mlaćenje	216	mlaćenja	D/L jd	mlaćenju	
motivisanje	216	motivisanja	D/L jd	motivisanju	
motivisanje	216	motivisanja	I jd	motivisanjem	
prozivanje	216	prozivanja	D/L jd	prozivanju	
leglo	215	legla	I jd	leglom	
neiskustvo	215	neiskustva	I jd	neiskustvom	
preticanje	215	preticanja	D/L jd	preticanju	
preticanje	215	preticanja	I jd	preticanjem	
priobalje	215	priobalja	I jd	priobaljem	
otopljavanje	214	otopljavanja	I jd	otopljavanjem	
grickanje	213	grickanja	D/L jd	grickanju	
grickanje	213	grickanja	I jd	grickanjem	
devojče	212	devojčeta	D/L jd	devojčetu	proširena osnova
izlučivanje	210	izlučivanja	D/L jd	izlučivanju	
izlučivanje	210	izlučivanja	I jd	izlučivanjem	
poklanjanje	210	poklanjanja	D/L jd	poklanjanju	
zagađivanje	210	zagađivanja	I jd	zagađivanjem	
dobročinstvo	208	dobročinstva	I jd	dobročinstvom	
etiketiranje	208	etiketiranja	D/L jd	etiketiranju	
etiketiranje	208	etiketiranja	I jd	etiketiranjem	
nastavljanje	208	nastavljanja	I jd	nastavljanjem	
odmeravanje	208	odmeravanja	I jd	odmeravanjem	
presađivanje	208	presađivanja	D/L jd	presađivanju	
računalo	208	računala	I jd	računalom	
osvežavanje	207	osvežavanja	I jd	osvežavanjem	
vaznesenje	206	vaznesenja	I jd	vaznesenjem	
zabavište	206	zabavišta	I jd	zabavištem	
origano	204	origana	D/L jd	origanu	
polugodište	204	polugodišta	I jd	polugodištem	
presecanje	202	presecanja	I jd	presecanjem	
udisanje	201	udisanja	D/L jd	udisanju	
lajanje	200	lajanja	D/L jd	lajanju	
preklapanje	200	preklapanja	I jd	preklapanjem	
sisanje	200	sisanja	D/L jd	sisanju	
vrenje	200	vrenja	I jd	vrenjem	
formatiranje	199	formatiranja	D/L jd	formatiranju	
formatiranje	199	formatiranja	I jd	formatiranjem	
rezonovanje	199	rezonovanja	I jd	rezonovanjem	
drhtanje	198	drhtanja	D/L jd	drhtanju	
drhtanje	198	drhtanja	I jd	drhtanjem	
magare	197	magareta	I jd	magaretom	proširena osnova
mestašce	197	mestašca	I jd	mestašcem	
svrstavanje	197	svrstavanja	I jd	svrstavanjem	
nasleđivanje	196	nasleđivanja	I jd	nasleđivanjem	
žvakanje	194	žvakanja	D/L jd	žvakanju	
lupetanje	192	lupetanja	D/L jd	lupetanju	
lupetanje	192	lupetanja	I jd	lupetanjem	
oblaganje	192	oblaganja	I jd	oblaganjem	
regrutovanje	192	regrutovanja	I jd	regrutovanjem	
pribežište	191	pribežišta	I jd	pribežištem	
obmanjivanje	189	obmanjivanja	I jd	obmanjivanjem	
raspuštanje	189	raspuštanja	I jd	raspuštanjem	
isparavanje	188	isparavanja	I jd	isparavanjem	
majčinstvo	187	majčinstva	I jd	majčinstvom	
odvikavanje	187	odvikavanja	I jd	odvikavanjem	
autorstvo	186	autorstva	I jd	autorstvom	
ostajanje	186	ostajanja	I jd	ostajanjem	
seoce	184	seoca	I jd	seocem	
kopile	181	kopila	D/L jd	kopilu	
kopile	181	kopila	I jd	kopilem	
libero	181	libera	D/L jd	liberu	
libero	181	libera	I jd	liberom	
neraspoloženje	181	neraspoloženja	D/L jd	neraspoloženju	
neraspoloženje	181	neraspoloženja	I jd	neraspoloženjem	
usisavanje	181	usisavanja	D/L jd	usisavanju	
dopunjavanje	180	dopunjavanja	I jd	dopunjavanjem	
espreso	180	espresa	D/L jd	espresu	
espreso	180	espresa	I jd	espresom	
ispisivanje	180	ispisivanja	D/L jd	ispisivanju	
ispisivanje	180	ispisivanja	I jd	ispisivanjem	
podmazivanje	180	podmazivanja	D/L jd	podmazivanju	
podmazivanje	180	podmazivanja	I jd	podmazivanjem	
ojačavanje	179	ojačavanja	I jd	ojačavanjem	
uzemljenje	179	uzemljenja	D/L jd	uzemljenju	
zadrugarstvo	178	zadrugarstva	D/L jd	zadrugarstvu	
zadrugarstvo	178	zadrugarstva	I jd	zadrugarstvom	
čitalište	178	čitališta	I jd	čitalištem	
granatiranje	177	granatiranja	D/L jd	granatiranju	
jutrenje	177	jutrenja	I jd	jutrenjem	
naplaćivanje	177	naplaćivanja	D/L jd	naplaćivanju	
naplaćivanje	177	naplaćivanja	I jd	naplaćivanjem	
obrezivanje	177	obrezivanja	I jd	obrezivanjem	
olakšavanje	175	olakšavanja	I jd	olakšavanjem	
pomodarstvo	175	pomodarstva	D/L jd	pomodarstvu	
doseljavanje	173	doseljavanja	I jd	doseljavanjem	
fiksiranje	173	fiksiranja	D/L jd	fiksiranju	
fiksiranje	173	fiksiranja	I jd	fiksiranjem	
raseljavanje	173	raseljavanja	I jd	raseljavanjem	
useljenje	172	useljenja	I jd	useljenjem	
zarastanje	172	zarastanja	I jd	zarastanjem	
geto	169	geta	I jd	getom	
tromesečje	169	tromesečja	I jd	tromesečjem	
šetanje	168	šetanja	I jd	šetanjem	
administriranje	167	administriranja	I jd	administriranjem	
granje	167	granja	D/L jd	granju	
jezerce	167	jezerca	I jd	jezercem	
pozajmljivanje	166	pozajmljivanja	D/L jd	pozajmljivanju	
ljuljanje	165	ljuljanja	I jd	ljuljanjem	
odmrzavanje	165	odmrzavanja	I jd	odmrzavanjem	
predskazanje	164	predskazanja	I jd	predskazanjem	
raščišćavanje	164	raščišćavanja	D/L jd	raščišćavanju	
raščišćavanje	164	raščišćavanja	I jd	raščišćavanjem	
smaranje	164	smaranja	D/L jd	smaranju	
smaranje	164	smaranja	I jd	smaranjem	
bratimljenje	163	bratimljenja	I jd	bratimljenjem	
kampovanje	163	kampovanja	I jd	kampovanjem	
pokućstvo	163	pokućstva	D/L jd	pokućstvu	
razjašnjenje	162	razjašnjenja	I jd	razjašnjenjem	
ostrvce	161	ostrvca	I jd	ostrvcem	
parkiralište	161	parkirališta	I jd	parkiralištem	
janje	160	janjeta	D/L jd	janjetu	proširena osnova
janje	160	janjeta	I jd	janjetom	proširena osnova
skandiranje	160	skandiranja	D/L jd	skandiranju	
skandiranje	160	skandiranja	I jd	skandiranjem	
figaro	159	figara	D/L jd	figaru	
figaro	159	figara	I jd	figarom	
violončelo	159	violončela	I jd	violončelom	
završavanje	159	završavanja	I jd	završavanjem	
isterivanje	158	isterivanja	I jd	isterivanjem	
starešinstvo	158	starešinstva	I jd	starešinstvom	
zavijanje	158	zavijanja	D/L jd	zavijanju	
mucanje	157	mucanja	D/L jd	mucanju	
preuređenje	157	preuređenja	I jd	preuređenjem	
razmeštanje	156	razmeštanja	I jd	razmeštanjem	
dogovaranje	155	dogovaranja	I jd	dogovaranjem	
mentorstvo	153	mentorstva	D/L jd	mentorstvu	
mentorstvo	153	mentorstva	I jd	mentorstvom	
skrovište	153	skrovišta	I jd	skrovištem	
brušenje	152	brušenja	D/L jd	brušenju	
licitiranje	152	licitiranja	I jd	licitiranjem	
prisustvovanje	152	prisustvovanja	D/L jd	prisustvovanju	
prisustvovanje	152	prisustvovanja	I jd	prisustvovanjem	
odmorište	151	odmorišta	I jd	odmorištem	
očišćenje	151	očišćenja	D/L jd	očišćenju	
uznemirenje	151	uznemirenja	I jd	uznemirenjem	
neverstvo	150	neverstva	I jd	neverstvom	
uvežbavanje	150	uvežbavanja	I jd	uvežbavanjem	
deponovanje	149	deponovanja	I jd	deponovanjem	
namirenje	149	namirenja	I jd	namirenjem	
kvarenje	148	kvarenja	I jd	kvarenjem	
sađenje	148	sađenja	I jd	sađenjem	
tetoviranje	148	tetoviranja	D/L jd	tetoviranju	
tetoviranje	148	tetoviranja	I jd	tetoviranjem	
afirmisanje	147	afirmisanja	I jd	afirmisanjem	
ulepšavanje	147	ulepšavanja	I jd	ulepšavanjem	
podrhtavanje	146	podrhtavanja	D/L jd	podrhtavanju	
podrhtavanje	146	podrhtavanja	I jd	podrhtavanjem	
